Epsiode Cummulative Reward: 9661.555487155914, Episode Timestpes: 1523,
Epsiode Cummulative Reward: 9636.722163677216, Episode Timestpes: 1635,
Epsiode Cummulative Reward: 2960.2611830830574, Episode Timestpes: 510,
