Epsiode Cummulative Reward: 1216.5111760497093, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2217.2574416399, Episode Timestpes: 2120,
Epsiode Cummulative Reward: 881.5298354625702, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 748.8805689811707, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1635.2951859235764, Episode Timestpes: 4327,
Epsiode Cummulative Reward: 1635.4477407336235, Episode Timestpes: 3901,
Epsiode Cummulative Reward: 304.75745940208435, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 819.4029784798622, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 880.6902718544006, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2112.9558588266373, Episode Timestpes: 3217,
Epsiode Cummulative Reward: 1243.376846909523, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1178.7313299775124, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1220.7089337706566, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 363.49220818281174, Episode Timestpes: 2070,
Epsiode Cummulative Reward: 689.2080646157265, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2180.9532255530357, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 854.6641722917557, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1085.4397421479225, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.3113021850585938e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3.337860107421875e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 88.15298247337341, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 53.726333141326904, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 437.3659117817879, Episode Timestpes: 1188,
Epsiode Cummulative Reward: 56.249999940395355, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 678.2948979735374, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 153.63805317878723, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 651.4925296902657, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 718.6566827297211, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 793.3028569817543, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2196.2686433792114, Episode Timestpes: 1183,
Epsiode Cummulative Reward: 879.8507274985313, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 405.50372737646103, Episode Timestpes: 1493,
Epsiode Cummulative Reward: 66.32462513446808, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1688.3395347595215, Episode Timestpes: 2933,
Epsiode Cummulative Reward: 2241.604441165924, Episode Timestpes: 3367,
Epsiode Cummulative Reward: 873.9738645553589, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1099.8134055137634, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 837.8730998635292, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2910.456030368805, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1233.3022272586823, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1695.8954956531525, Episode Timestpes: 3348,
Epsiode Cummulative Reward: 350.93283182382584, Episode Timestpes: 837,
Epsiode Cummulative Reward: 1083.022377192974, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 286.287300825119, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 130.95792996883392, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3686.47384929657, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1092.1555643677711, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1166.1380395293236, Episode Timestpes: 4500,
