Epsiode Cummulative Reward: 368.5634283423424, Episode Timestpes: 293,
Epsiode Cummulative Reward: 422.29477071762085, Episode Timestpes: 449,
Epsiode Cummulative Reward: 352.6119360923767, Episode Timestpes: 285,
Epsiode Cummulative Reward: 338.33954828977585, Episode Timestpes: 446,
Epsiode Cummulative Reward: 340.85820496082306, Episode Timestpes: 309,
Epsiode Cummulative Reward: 345.8955183625221, Episode Timestpes: 622,
Epsiode Cummulative Reward: 336.66044384241104, Episode Timestpes: 288,
Epsiode Cummulative Reward: 340.01865273714066, Episode Timestpes: 317,
Epsiode Cummulative Reward: 920.1492074131966, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 346.7350705265999, Episode Timestpes: 359,
Epsiode Cummulative Reward: 337.49999606609344, Episode Timestpes: 371,
Epsiode Cummulative Reward: 424.81342738866806, Episode Timestpes: 713,
Epsiode Cummulative Reward: 354.2910405397415, Episode Timestpes: 510,
Epsiode Cummulative Reward: 418.0970095396042, Episode Timestpes: 514,
Epsiode Cummulative Reward: 341.69775718450546, Episode Timestpes: 491,
Epsiode Cummulative Reward: 336.66044384241104, Episode Timestpes: 358,
Epsiode Cummulative Reward: 359.32835388183594, Episode Timestpes: 323,
Epsiode Cummulative Reward: 350.9328316450119, Episode Timestpes: 226,
Epsiode Cummulative Reward: 937.779819726944, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 337.4999966621399, Episode Timestpes: 135,
Epsiode Cummulative Reward: 4038.2462440133095, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1760.541030883789, Episode Timestpes: 489,
Epsiode Cummulative Reward: 1760.541030883789, Episode Timestpes: 489,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4038.2462645173073, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 357.6492504477501, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
Epsiode Cummulative Reward: 349.25372809171677, Episode Timestpes: 87,
