Epsiode Cummulative Reward: 2791.5111629366875, Episode Timestpes: 2298,
Epsiode Cummulative Reward: 2774.720111489296, Episode Timestpes: 2214,
Epsiode Cummulative Reward: 4933.588198065758, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1652.0846569538116, Episode Timestpes: 1200,
Epsiode Cummulative Reward: 1676.5857991576195, Episode Timestpes: 2555,
Epsiode Cummulative Reward: 1674.9067021608353, Episode Timestpes: 1103,
Epsiode Cummulative Reward: 2113.1529636383057, Episode Timestpes: 1697,
Epsiode Cummulative Reward: 598.5448936223984, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2162.686547100544, Episode Timestpes: 2844,
Epsiode Cummulative Reward: 415.5783452987671, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 668.2212080955505, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.0728836059570312e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 486.9402913451195, Episode Timestpes: 3977,
Epsiode Cummulative Reward: 2208.861916780472, Episode Timestpes: 3930,
Epsiode Cummulative Reward: 801.6975730061531, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1652.2387906312943, Episode Timestpes: 3209,
Epsiode Cummulative Reward: 5.960464477539063e-08, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 304.7574626803398, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.2040138244628906e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.5497207641601562e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2028.3581928610802, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 840.3917563557625, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2554.757402598858, Episode Timestpes: 3919,
Epsiode Cummulative Reward: 715.2985110878944, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 99.90669912099838, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2242.444018125534, Episode Timestpes: 558,
Epsiode Cummulative Reward: 1644.6828288435936, Episode Timestpes: 989,
Epsiode Cummulative Reward: 423.9738809466362, Episode Timestpes: 3100,
Epsiode Cummulative Reward: 2766.90602260828, Episode Timestpes: 3083,
Epsiode Cummulative Reward: 1645.5223702192307, Episode Timestpes: 554,
Epsiode Cummulative Reward: 2773.8805614709854, Episode Timestpes: 977,
Epsiode Cummulative Reward: 1696.5768076181412, Episode Timestpes: 332,
Epsiode Cummulative Reward: 4885.354402184486, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2781.436531126499, Episode Timestpes: 1418,
Epsiode Cummulative Reward: 376.1193994283676, Episode Timestpes: 217,
Epsiode Cummulative Reward: 2788.99250459671, Episode Timestpes: 2817,
Epsiode Cummulative Reward: 2764.3875990509987, Episode Timestpes: 1458,
Epsiode Cummulative Reward: 4822.388010203838, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6.198883056640625e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2231.3216671943665, Episode Timestpes: 3669,
Epsiode Cummulative Reward: 2787.3133909106255, Episode Timestpes: 1960,
Epsiode Cummulative Reward: 2769.6827984452248, Episode Timestpes: 1458,
Epsiode Cummulative Reward: 5020.522304952145, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1637.1268446445465, Episode Timestpes: 823,
Epsiode Cummulative Reward: 707.6764939427376, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 602.7984840869904, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6.556510925292969e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1639.645503103733, Episode Timestpes: 2994,
Epsiode Cummulative Reward: 3466.5111405849457, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 5615.764844954014, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1422.2014809250832, Episode Timestpes: 630,
Epsiode Cummulative Reward: 5159.888011038303, Episode Timestpes: 3380,
Epsiode Cummulative Reward: 2797.38801831007, Episode Timestpes: 4119,
Epsiode Cummulative Reward: 4706.529770851135, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2610.167850613594, Episode Timestpes: 4478,
Epsiode Cummulative Reward: 3729.2910232543945, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 464.272376537323, Episode Timestpes: 2531,
Epsiode Cummulative Reward: 884.0484977960587, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 73.88058143854141, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2113.152976870537, Episode Timestpes: 3473,
Epsiode Cummulative Reward: 146.9216381907463, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1662.1583684682846, Episode Timestpes: 1659,
Epsiode Cummulative Reward: 5549.762074828148, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2763.8059309124947, Episode Timestpes: 1627,
Epsiode Cummulative Reward: 2242.444003164768, Episode Timestpes: 512,
Epsiode Cummulative Reward: 2778.9178718328476, Episode Timestpes: 986,
Epsiode Cummulative Reward: 5636.753642082214, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2764.38762396574, Episode Timestpes: 867,
Epsiode Cummulative Reward: 4228.8245703577995, Episode Timestpes: 1101,
Epsiode Cummulative Reward: 4262.406664550304, Episode Timestpes: 1260,
Epsiode Cummulative Reward: 4936.567102253437, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2207.1828160881996, Episode Timestpes: 973,
Epsiode Cummulative Reward: 2149.2537171840668, Episode Timestpes: 1109,
Epsiode Cummulative Reward: 2788.152982234955, Episode Timestpes: 680,
Epsiode Cummulative Reward: 4762.779826462269, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -2.9087066650390625e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4261.567121744156, Episode Timestpes: 2132,
Epsiode Cummulative Reward: 965.4850570559502, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2236.5671484470367, Episode Timestpes: 1148,
Epsiode Cummulative Reward: 2211.3805888295174, Episode Timestpes: 2258,
Epsiode Cummulative Reward: 2770.263967037201, Episode Timestpes: 2268,
Epsiode Cummulative Reward: 9.000301361083984e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.562999725341797e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1365.8240460157394, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 426.49253636598587, Episode Timestpes: 179,
Epsiode Cummulative Reward: -1.537799835205078e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3033.302209496498, Episode Timestpes: 2819,
Epsiode Cummulative Reward: 470.1492472290993, Episode Timestpes: 90,
Epsiode Cummulative Reward: 2207.182833969593, Episode Timestpes: 2412,
Epsiode Cummulative Reward: 365.205217897892, Episode Timestpes: 126,
Epsiode Cummulative Reward: 1640.4850539565086, Episode Timestpes: 407,
Epsiode Cummulative Reward: 5900.373068451881, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 5666.1379653811455, Episode Timestpes: 3507,
Epsiode Cummulative Reward: 2220.6156334877014, Episode Timestpes: 4258,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.6689300537109375e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.384185791015625e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4.231929779052734e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.9669532775878906e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2229.850725710392, Episode Timestpes: 2885,
Epsiode Cummulative Reward: 39.45894128084183, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -8.165836334228516e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 596.0820863246918, Episode Timestpes: 1847,
Epsiode Cummulative Reward: 1656.4365437030792, Episode Timestpes: 2338,
Epsiode Cummulative Reward: 2116.511179804802, Episode Timestpes: 2404,
Epsiode Cummulative Reward: 5579.664120316505, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2211.3805664777756, Episode Timestpes: 3217,
Epsiode Cummulative Reward: 1.1622905731201172e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 5928.9178765416145, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2792.929767906666, Episode Timestpes: 1193,
Epsiode Cummulative Reward: 2212.220108270645, Episode Timestpes: 4391,
Epsiode Cummulative Reward: 2193.7499680519104, Episode Timestpes: 1257,
Epsiode Cummulative Reward: 2221.4551946520805, Episode Timestpes: 1356,
Epsiode Cummulative Reward: 2207.182774782181, Episode Timestpes: 1988,
Epsiode Cummulative Reward: 355.97014302015305, Episode Timestpes: 89,
Epsiode Cummulative Reward: 2227.332057595253, Episode Timestpes: 408,
Epsiode Cummulative Reward: 2218.0969493985176, Episode Timestpes: 2196,
