Epsiode Cummulative Reward: 98.2276062965393, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1101.4925206899643, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 746.2923104763031, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 810.0922967791557, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 407.1828311085701, Episode Timestpes: 1121,
Epsiode Cummulative Reward: 402.145516872406, Episode Timestpes: 2964,
Epsiode Cummulative Reward: 1677.4253537654877, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 119.21640413999557, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 735.4477449059486, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 57.08422601222992, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 444.9211750626564, Episode Timestpes: 575,
Epsiode Cummulative Reward: 1223.2275879979134, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 78.91791784763336, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2209.701471865177, Episode Timestpes: 2837,
Epsiode Cummulative Reward: 1204.7574558258057, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 68.00372910499573, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 872.2947615981102, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 697.6679112315178, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 430.650122821331, Episode Timestpes: 4118,
Epsiode Cummulative Reward: 153.6380639076233, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 771.5484995245934, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 538.1529793739319, Episode Timestpes: 326,
Epsiode Cummulative Reward: 859.7014733552933, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 52.05223321914673, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 714.3922598361969, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 350.93282997608185, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -6.735324859619141e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 643.0970112085342, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 747.2014853954315, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 365.20522367954254, Episode Timestpes: 2314,
Epsiode Cummulative Reward: 1104.8507318496704, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1090.5783504843712, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 9.234227359294891, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4.0531158447265625e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 763.0817745923996, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 355.1305939555168, Episode Timestpes: 1943,
Epsiode Cummulative Reward: 1000.6528688073158, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 765.6716260910034, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 570.8954944610596, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 90.67163980007172, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.3887882232666016e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 747.2014806866646, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 760.5633238554001, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 591.8843169808388, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 137.68656891584396, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 701.0261008739471, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 814.2896746993065, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.0669231414794922e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1052.7985023856163, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 68.843281686306, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 156.99625539779663, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 711.1007455587387, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 66.32462280988693, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 725.3731175065041, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1649.72013682127, Episode Timestpes: 2757,
Epsiode Cummulative Reward: 542.3001328706741, Episode Timestpes: 1966,
Epsiode Cummulative Reward: -2.1696090698242188e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 169.58954375982285, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1696.7350554466248, Episode Timestpes: 1806,
Epsiode Cummulative Reward: 1594.309700012207, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 572.5746076703072, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 105.77372056245804, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2113.152960896492, Episode Timestpes: 4095,
Epsiode Cummulative Reward: 1083.0223733186722, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 9.5367431640625e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 800.8580747842789, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 422.29477256536484, Episode Timestpes: 699,
Epsiode Cummulative Reward: 108.30221092700958, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 147.76118618249893, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 61.28730994462967, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 71.36193841695786, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 248.50745224952698, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 24.34701842069626, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 826.9589396715164, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2207.1828060746193, Episode Timestpes: 2566,
Epsiode Cummulative Reward: 417.2574593424797, Episode Timestpes: 296,
Epsiode Cummulative Reward: 210.72761750221252, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 704.3843085765839, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 350.0606090426445, Episode Timestpes: 2750,
Epsiode Cummulative Reward: -2.676248550415039e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 681.716394841671, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6.556510925292969e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 571.6817312240601, Episode Timestpes: 3551,
Epsiode Cummulative Reward: 746.3619389533997, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 332.4316743016243, Episode Timestpes: 778,
Epsiode Cummulative Reward: 741.3246141672134, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.518428683280945, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 53.731337547302246, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2765.485031545162, Episode Timestpes: 3032,
Epsiode Cummulative Reward: 706.9029777646065, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 481.9029658436775, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 306.4365641474724, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 695.1492437124252, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.1324882507324219e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 426.4925317764282, Episode Timestpes: 2531,
Epsiode Cummulative Reward: -5.781650543212891e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 311.473876953125, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 26.02368277311325, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 749.7201334238052, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 822.7611842751503, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 338.3395504951477, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 717.817135989666, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.430511474609375e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 740.4850656986237, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 416.41790783405304, Episode Timestpes: 1434,
Epsiode Cummulative Reward: 101.58581852912903, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 864.6581032276154, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 538.9925362467766, Episode Timestpes: 343,
Epsiode Cummulative Reward: 260.26119089126587, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 89.83209413290024, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.055002212524414e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 816.0447607636452, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2238.2462509274483, Episode Timestpes: 2381,
Epsiode Cummulative Reward: 747.2014904618263, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 721.1753481030464, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.5033950805664062e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 399.6268619298935, Episode Timestpes: 305,
Epsiode Cummulative Reward: 408.02238339185715, Episode Timestpes: 3108,
Epsiode Cummulative Reward: 737.1268424391747, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 650.6529713869095, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 723.6264953613281, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1159.4216342568398, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 123.41417932510376, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1005.7835631370544, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2127.4253678917885, Episode Timestpes: 2932,
Epsiode Cummulative Reward: 1013.3395454883575, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 481.063437461853, Episode Timestpes: 2359,
Epsiode Cummulative Reward: 272.01491087675095, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2788.9925241470337, Episode Timestpes: 2983,
Epsiode Cummulative Reward: 389.5522382259369, Episode Timestpes: 146,
Epsiode Cummulative Reward: 78.91791552305222, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3.3578729033470154, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2239.9253630638123, Episode Timestpes: 2160,
Epsiode Cummulative Reward: 817.6475750207901, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 827.7984805703163, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 852.1454957127571, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2766.3246106505394, Episode Timestpes: 2361,
